name,https://www.rhs.org.uk/plants/112608/festuca-glauca-blaufuchs/details,plantStartMonth,plantEndMonth,pruneStartMonth,pruneEndMonth,takeCuttingsStartMonth,takeCuttingsEndMonth,divideStartMonth,divideEndMonth,feedStartMonth,feedEndMonth,feedFrequency,food,Pruning,Hardiness (only applicable for perrenials),startMonth,endMonth,description,startMonth,endMonth,description
Lonicera x heckrottii 'American Beauty',https://www.rhs.org.uk/plants/198446/lonicera-x-heckrottii-american-beauty/details,May,Sep,Feb,Mar,May,Jun,,,Apr,Apr,,General fertilizer,Pruning group 11 after flowering,H5,,,,,,
